,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0.0,5668893.93982,2193281.80704,4703407.43149,5158649.65004,6914645.03892,4809980.84092,4574532.50577,8118932.87452,7569833.92668,5141247.92116,18090128.801,2522996.88522,12116140.2773,3258278.10298,5402501.92783,5372034.03635,7119652.1445,6443987.74145,1403896.55299,1971663.16475,2242913.30253,3976146.67,1932402.39186,3019646.99615,2014915.71367,2250875.55933,2528649.76364,3254741.55169,2780405.09778,1380664.98506,3877530.29095,3737689.9773
1,5668893.93982,0.0,1121273.22474,2097223.22697,1757525.58735,1561873.95517,2539402.12449,1770678.90792,3786276.86682,2419455.36038,2062789.52202,3453387.3413,2548094.07307,6146646.73043,2593165.65164,10214993.3186,3568429.92902,4480031.3233,5091670.38446,806430.725789,1108353.3578,1198663.94662,3049301.59342,1755801.87149,3069573.624,1845147.03726,1936711.08922,2251165.01663,2499516.89232,2392331.89195,1200607.49873,3792814.65929,3261342.00542
2,2193281.80704,1121273.22474,0.0,5965251.65602,1572305.69146,1082626.52866,1514578.07838,2102987.00529,2044167.9087,2279234.60603,2770512.17037,2117722.12237,790826.344057,1193638.1005,1034748.16329,1016035.31268,1392147.34758,1066815.21141,1265362.31191,2524151.94539,4306096.63366,10222873.0707,1721650.28099,650633.87218,790674.417567,681664.378504,806263.818935,922500.248948,1399008.59181,995941.345148,528118.655463,1287097.30082,1385203.48661
3,4703407.43149,2097223.22697,5965251.65602,0.0,3783660.90945,2626270.11158,3234824.75375,5711758.06146,4623813.88699,5948805.16747,8136901.20514,4953590.889,1491090.21823,2385603.35833,2004175.24026,1912405.5673,2791476.71994,2155933.99711,2457595.47698,2269822.94851,3433937.51634,4806702.73813,2995901.92991,1144548.28902,1420102.58789,1208988.68633,1366410.62787,1622873.52688,2441246.05249,1687865.44403,917115.177714,2406943.64272,2550478.63427
4,5158649.65004,1757525.58735,1572305.69146,3783660.90945,0.0,4217428.86552,3609400.38949,4453823.70959,6065410.22031,10485128.9234,4628475.5341,6959254.06969,1283343.53181,2247206.06741,1809901.29308,1619131.3895,2697428.32909,2117495.91681,2230774.83702,930373.183356,1324323.24021,1557662.95859,2276276.42086,883150.917809,1121149.3016,944049.747029,996266.225692,1252320.09331,1862132.00541,1230642.75196,694824.455898,2042806.63198,2109845.4848
5,6914645.03892,1561873.95517,1082626.52866,2626270.11158,4217428.86552,0.0,3230970.18193,3026484.12933,7372287.86813,7111241.15653,3241236.38953,20609520.0,993034.306229,2309774.16476,1432755.48479,1455225.62254,2211378.83409,1884785.45311,1872381.20388,637466.008913,908129.59764,1070356.57406,1671729.20659,652488.071578,932773.765907,700768.247514,773121.998061,925261.93587,1369636.30411,955002.748022,509729.038679,1570712.65219,1604064.27628
6,4809980.84092,2539402.12449,1514578.07838,3234824.75375,3609400.38949,3230970.18193,0.0,3196928.12227,14539119.124,5299902.81923,3523546.80658,5741899.92708,2983419.44202,3316114.31272,5012069.57449,2359110.56754,10451425.9875,3558811.28403,3550782.56334,972428.559581,1364962.62974,1550715.25378,3829033.78685,1535308.88856,2082136.09992,1685292.36776,1558400.17793,2177416.24856,3158191.85763,1925021.47937,1161866.67799,4543191.75439,4353535.8509
7,4574532.50577,1770678.90792,2102987.00529,5711758.06146,4453823.70959,3026484.12933,3196928.12227,0.0,4938980.41152,8177677.94857,9395082.09803,5400767.11047,1283233.87698,2146623.11163,1771791.03355,1623883.89315,2560512.06966,1994835.63217,2178799.7264,1162441.7327,1672902.24287,2024405.21047,2398346.45068,924692.318434,1160030.42664,983644.196406,1065298.20422,1311189.54622,1958881.53006,1315914.84273,732935.537647,2055053.52251,2145928.54191
8,8118932.87452,3786276.86682,2044167.9087,4623813.88699,6065410.22031,7372287.86813,14539119.124,4938980.41152,0.0,9358918.76525,5307577.47557,11678128.8352,2716056.91457,5539611.67457,4158385.0435,3554099.23227,7105018.80604,6513742.80241,5597592.93289,1259339.10203,1780455.55252,2058754.08009,4056281.78014,1603441.08234,2173778.28231,1739672.17764,1732342.31607,2273893.99335,3333859.3386,2139884.36044,1233956.24923,4229275.18289,4203754.91576
9,7569833.92668,2419455.36038,2279234.60603,5948805.16747,10485128.9234,7111241.15653,5299902.81923,8177677.94857,9358918.76525,0.0,8019173.87767,11082189.7562,1772782.87903,3172411.35405,2525011.98046,2233542.01979,3819861.94662,3009977.43108,3115567.709,1286617.77898,1845477.76179,2213862.05301,3072431.71029,1195248.62303,1525184.92943,1280361.01525,1336381.56389,1694899.37502,2515137.25928,1650771.89515,937384.724672,2814073.37919,2892039.37403
10,5141247.92116,2062789.52202,2770512.17037,8136901.20514,4628475.5341,3241236.38953,3523546.80658,9395082.09803,5307577.47557,8019173.87767,0.0,5879656.52076,1474742.76825,2461804.65937,2020365.1145,1889175.15377,2887908.51626,2243997.69642,2482409.29946,1474633.10694,2134566.0545,2623543.04974,2812780.62322,1081758.44941,1359838.7777,1148495.19415,1262888.83644,1533888.04493,2295912.08943,1559989.64235,859988.169114,2367131.60316,2482141.65717
11,18090128.801,3453387.3413,2117722.12237,4953590.889,6959254.06969,20609520.0,5741899.92708,5400767.11047,11678128.8352,11082189.7562,5879656.52076,0.0,1915414.93724,5362896.14356,2729335.35268,3228752.50766,4131673.18364,3714686.27177,3799695.43887,1275822.62283,1810612.1965,2113554.28294,3316357.25972,1370436.23266,2024424.53022,1422916.32982,1646519.44555,1829668.2252,2714895.61542,2033871.23781,1011784.26498,3040121.18044,3123685.56735
12,2522996.88522,2548094.07307,790826.344057,1491090.21823,1283343.53181,993034.306229,2983419.44202,1283233.87698,2716056.91457,1772782.87903,1474742.76825,1915414.93724,0.0,2188532.07922,9159439.45265,3204551.80993,4607857.06385,1977579.15805,2089219.82594,564401.465531,776869.575668,843014.721867,3365112.93179,2029049.81069,3369430.30226,2400510.38306,1622924.3469,2629048.87172,2794041.69769,2004725.27623,1294639.91243,12316765.3088,5591203.03039
13,12116140.2773,6146646.73043,1193638.1005,2385603.35833,2247206.06741,2309774.16476,3316114.31272,2146623.11163,5539611.67457,3172411.35405,2461804.65937,5362896.14356,2188532.07922,0.0,2897078.92051,6174697.59244,5529122.36244,13917314.0223,7661497.53496,808326.066642,1123716.82192,1247615.53952,2951594.22554,1524107.45308,2634620.33211,1600462.40719,1689704.19682,1957879.53528,2424167.75149,2087215.41407,1046469.75881,3268420.66628,3004376.16734
14,3258278.10298,2593165.65164,1034748.16329,2004175.24026,1809901.29308,1432755.48479,5012069.57449,1771791.03355,4158385.0435,2525011.98046,2020365.1145,2729335.35268,9159439.45265,2897078.92051,0.0,3058686.70759,9436722.19051,3122805.27771,3098497.15935,720290.240257,996183.155943,1092852.50266,4806963.54912,2032689.20249,3115414.85655,2337212.56021,1764983.02083,2883545.28714,4015993.6318,2180203.95142,1445343.62051,11371382.2532,8417926.25405
15,5402501.92783,10214993.3186,1016035.31268,1912405.5673,1619131.3895,1455225.62254,2359110.56754,1623883.89315,3554099.23227,2233542.01979,1889175.15377,3228752.50766,3204551.80993,6174697.59244,3058686.70759,0.0,3365845.79998,4407034.92723,4938235.45212,726327.678015,999433.802198,1083744.8474,3080214.77111,1931116.4175,3896711.87977,2047463.73382,2010173.22175,2420950.653,2532173.3777,2483076.35222,1259629.72207,4564497.46836,3616835.80704
16,5372034.03635,3568429.92902,1392147.34758,2791476.71994,2697428.32909,2211378.83409,10451425.9875,2560512.06966,7105018.80604,3819861.94662,2887908.51626,4131673.18364,4607857.06385,5529122.36244,9436722.19051,3365845.79998,0.0,6862077.67444,5715777.28572,940134.097674,1307626.45239,1453556.92174,4694538.57304,1916974.44417,2704647.15887,2136872.31462,1841005.55835,2718936.73266,3889359.19899,2274111.16455,1419947.1403,6742382.27594,6081664.26378
17,7119652.1445,4480031.3233,1066815.21141,2155933.99711,2117495.91681,1884785.45311,3558811.28403,1994835.63217,6513742.80241,3009977.43108,2243997.69642,3714686.27177,1977579.15805,13917314.0223,3122805.27771,4407034.92723,6862077.67444,0.0,10604000.8753,715708.883735,996681.974702,1111074.02704,2796303.1538,1243736.59083,2079453.65843,1303094.20654,1400421.12159,1607100.18728,2301344.33712,1729877.07356,864730.607834,3055714.74172,2998346.91083
18,6443987.74145,5091670.38446,1265362.31191,2457595.47698,2230774.83702,1872381.20388,3550782.56334,2178799.7264,5597592.93289,3115567.709,2482409.29946,3799695.43887,2089219.82594,7661497.53496,3098497.15935,4938235.45212,5715777.28572,10604000.8753,0.0,878639.651269,1215755.1556,1335174.4471,3275567.96407,1540167.62488,2506153.11026,1610620.77049,1757224.39067,1999987.73197,2688537.37286,2170620.06538,1082271.06988,3262448.61551,3282431.26845
19,1403896.55299,806430.725789,2524151.94539,2269822.94851,930373.183356,637466.008913,972428.559581,1162441.7327,1259339.10203,1286617.77898,1474633.10694,1275822.62283,564401.465531,808326.066642,720290.240257,726327.678015,940134.097674,715708.883735,878639.651269,0.0,11457402.2453,4262866.57959,1334872.96872,498434.155142,592371.451268,517584.983958,644477.412317,706667.159575,1081346.67559,796093.891189,410418.045026,925855.246298,1011751.72545
