ID,iri_mean,iri_med,iri_min,iri_max,iri_stdev,speed_mean,speed_med,VPROMMS_ID,length,Social_Cost_1,Isolated_Trips_1,CRIT_SCORE_1,Social_Cost_2,Isolated_Trips_2,CRIT_SCORE_2
0,8.75806451613,8.32,6.07,14.67,2.16492558664,34.1058064516,35.21,Input VPROMMS: 212TH00024 (70.05 pct); 214YD00030 (18.36 pct); transit 10 (10.14 pct); 213YD00005 (0.97 pct); 214YD00032 (0.48 pct); ,8.36339768589,949594164.579,949594.164579,0.648066262857,402480000.0,40248.0,0.658583280153
1,10.5685,10.56,8.03,12.36,1.1019612898,22.825,22.935,214YD00061,1.63610321325,,,,,,
2,,,,,,,,214YD00059,0.544257217114,,,,,,
3,,,,,,,,214YD00059,2.25511844398,,,,,,
4,,,,,,,,214YD00060,2.99310543981,,,,,,
5,,,,,,,,214YD00032,2.63932228641,0.0,0.0,0.0,0.0,0.0,0.0
6,,,,,,,,214YD00057,0.824951138235,,,,,,
7,,,,,,,,214YD00059,0.437329883816,,,,,,
8,7.157,7.86,3.05,9.67,2.13290125833,30.517,31.37,213YD00006,1.06708313708,400048961.866,400048.961866,0.273020038819,122280000.0,12228.0,0.200088360905
9,9.09,6.25,4.3,42.92,9.55721642081,30.7073333333,32.65,212TH00029,1.95209439769,338208907.278,338208.907278,0.230816269498,104940000.0,10494.0,0.171714692455
10,23.994,14.1,8.68,43.77,16.9269763986,34.632,35.71,Input VPROMMS: 214YD00030 (63.08 pct); 212TH00024 (33.85 pct); transit 9_ (1.54 pct); 214YD00032 (1.54 pct); ,1.27154743665,949594164.579,949594.164579,0.648066262857,402480000.0,40248.0,0.658583280153
11,6.88333333333,6.78,6.75,7.12,0.205507501891,22.8466666667,23.41,214YD00009,1.49326136758,681783.898412,0.0,0.000372235769427,1675.38663925,0.0,2.1931656299e-06
12,5.94,6.43,2.83,8.88,1.87331479825,33.1184,34.29,Input VPROMMS: 213YD00006 (55.29 pct); 214YD00002 (44.71 pct); ,2.05987749639,1198301.21326,0.0,0.000654240405444,13149.8416053,0.0,1.72138060384e-05
13,7.035,7.015,6.5,7.61,0.460325971459,21.9375,21.9,214YD00056,1.21169629214,1452940.05829,0.0,0.000793266402725,53672.997892,0.0,7.02606619109e-05
14,7.04892857143,7.62,2.94,10.66,2.16246830726,29.4860714286,28.24,Input VPROMMS: 214YD00004 (60.64 pct); 214YD00008 (36.17 pct); 214YD00036 (3.19 pct); ,1.23092827082,451755.538724,0.0,0.000246646438764,2914.24051729,0.0,3.81488785338e-06
15,5.07,5.07,5.07,5.07,,20.5,20.5,214YD00047,0.427418880668,,,,,,
16,6.10857142857,6.47,3.89,7.74,1.36197685457,32.6042857143,31.87,Input VPROMMS: 214YD00058 (43.24 pct); transit 5_ (36.49 pct); transit fr (13.51 pct); transit 7_ (2.7 pct); 214YD00057 (2.7 pct); transit 4_ (1.35 pct); ,2.13220057407,10746020.5255,0.0,0.005867039729,542961.489538,0.0,0.000710763980872
17,10.7438888889,8.645,5.18,40.65,8.34978769641,31.0433333333,30.33,Input VPROMMS: 212TH00029 (64.79 pct); transit 4_ (32.39 pct); transit 5_ (2.82 pct); ,1.98960886837,5206514.01367,0.0,0.00284261736663,53672.997892,0.0,7.02606619109e-05
18,12.532,12.185,10.92,14.73,1.34355912081,28.813,28.82,Input VPROMMS: 214YD00031 (45.76 pct); 213YD00005 (45.76 pct); transit 9_ (5.08 pct); 213YD00007 (3.39 pct); ,1.12941321348,2318098.40276,0.0,0.00126561971406,0.0,0.0,0.0
19,9.69,9.69,9.56,9.82,0.183847763109,37.63,37.63,Input VPROMMS: 214YD00030 (50.0 pct); 212TH00024 (28.26 pct); transit 9_ (21.74 pct); ,0.816891359512,6140467.89784,0.0,0.00335253120222,233770.24603,0.0,0.000306017045186
20,8.06125,7.475,5.66,11.01,1.91899852974,26.28375,24.805,Input VPROMMS: 212TH00029 (60.0 pct); 214YD00056 (37.65 pct); 214YD00058 (2.35 pct); ,1.92898989424,482119.888893,0.0,0.000263224561648,0.0,0.0,0.0
21,6.99631578947,7.32,3.43,10.09,1.85621242357,31.6694736842,32.29,Input VPROMMS: 214YD00004 (63.79 pct); 214YD00008 (36.21 pct); ,0.839620944801,451755.538724,0.0,0.000246646438764,2914.24051729,0.0,3.81488785338e-06
22,3.85,3.58,3.53,4.96,0.622454817637,21.764,21.93,214YD00005,0.913149329114,0.0,0.0,0.0,0.0,0.0,0.0
23,8.856875,9.56,4.76,13.45,3.63900117935,23.29875,22.625,Input VPROMMS: 213YD00005 (54.39 pct); 214YD00003 (45.61 pct); ,1.00211526894,2318098.40276,0.0,0.00126561971406,0.0,0.0,0.0
24,,,,,,,,214YD00003,0.163563076921,0.0,0.0,0.0,0.0,0.0,0.0
25,,,,,,,,Input VPROMMS: 213YD00007 (50.0 pct); 212TH00024 (50.0 pct); ,0.0611377386684,8222972.69525,0.0,0.00448952311037,378608.842262,0.0,0.000495618074403
26,3.003,2.935,2.61,3.52,0.291053641486,23.797,24.24,214YD00012,1.37461293692,479580073.798,479580.073798,0.32729736319,136860000.0,13686.0,0.223945805311
27,,,,,,,,214YD00006,0.0718955785209,,,,,,
28,3.842,3.5,3.31,5.2,0.774674125036,28.208,27.94,214YD00011,0.638653055988,0.0,0.0,0.0,0.0,0.0,0.0
29,10.8533333333,10.61,9.66,12.29,1.33177825982,34.6166666667,33.86,212TH00024,1.09157805082,8222972.69525,0.0,0.00448952311037,378608.842262,0.0,0.000495618074403
30,2.655,2.655,2.6,2.71,0.0777817459305,22.045,22.045,Input VPROMMS: 213YD00005 (63.16 pct); 214YD00001 (36.84 pct); ,0.267963462789,1380407.38206,0.0,0.000753665501902,13149.8416053,0.0,1.72138060384e-05
31,,,,,,,,214YD00007,0.285420674536,,,,,,
32,4.15,4.15,4.15,4.15,,24.95,24.95,214YD00006,0.373649014611,,,,,,
33,,,,,,,,213YD00005,0.056328213486,1380407.38206,0.0,0.000753665501902,13149.8416053,0.0,1.72138060384e-05
34,,,,,,,,213YD00005,0.269853157154,0.0,0.0,0.0,0.0,0.0,0.0
35,15.725,15.725,6.87,24.58,12.5228610948,27.205,27.205,212TH00029,0.264194119805,1053695.45428,0.0,0.00057528952954,2914.24051729,0.0,3.81488785338e-06
