,Junction,points
0,POINT (105.4622873285699 20.32028156808853),3.0
1,POINT (105.4318836856902 20.33949305842712),3.0
2,POINT (105.5207264155239 20.2891216304276),3.0
3,POINT (105.4629121980745 20.31274356317188),3.0
4,POINT (105.4789571775974 20.30337494312544),3.0
5,POINT (105.4829702142107 20.30040103851538),3.0
6,POINT (105.434796771968 20.33679109476187),3.0
7,POINT (105.4666073267616 20.31162109603935),3.0
8,POINT (105.466534793926 20.31163840127984),3.0
9,POINT (105.4470914035909 20.33499699497623),3.0
10,POINT (105.4512836111387 20.32913796985158),3.0
11,POINT (105.4670802100348 20.29472207920744),3.0
12,POINT (105.4366492002779 20.33796855273076),3.0
13,POINT (105.487523569911 20.29981930930112),3.0
14,POINT (105.4604962832893 20.31751352387407),3.0
15,POINT (105.4318837048261 20.33949297917929),3.0
16,POINT (105.5207264746559 20.28912164084944),3.0
17,POINT (105.4661610892443 20.31141794992458),3.0
18,POINT (105.4604221998561 20.31733327726614),3.0
19,POINT (105.4465929810003 20.33458917493418),3.0
20,POINT (105.4472528086219 20.33497004696653),3.0
21,POINT (105.4670802008609 20.29472210134877),3.0
22,POINT (105.4602899106306 20.31928303123945),3.0
23,POINT (105.4619501746286 20.31611530004923),3.0
24,POINT (105.4318836822289 20.33949306496162),3.0
25,POINT (105.520726378372 20.28912163324284),3.0
26,POINT (105.4670801864872 20.29472202984697),3.0
27,POINT (105.4734269831791 20.29623411323136),3.0
28,POINT (105.4366383746849 20.33742614351034),3.0
29,POINT (105.4623552024145 20.32036969435446),3.0
30,POINT (105.4480773819929 20.33357408212205),3.0
31,POINT (105.4540631385366 20.32496065597705),3.0
32,POINT (105.4755676237932 20.30460761652465),3.0
33,POINT (105.4392962385947 20.3391243890073),3.0
34,POINT (105.4319872458107 20.33934607056483),3.0
35,POINT (105.4670802181214 20.29472208890278),3.0
36,POINT (105.437706399634 20.33937913667106),3.0
37,POINT (105.4855062599548 20.29892873027015),3.0
38,POINT (105.5207266325369 20.28912171222579),3.0
39,POINT (105.4395437983673 20.3386601580838),3.0
40,POINT (105.4330592382036 20.33894342267848),3.0
41,POINT (105.4629160758201 20.31273493917662),3.0
42,POINT (105.4360933760869 20.33669782109907),3.0
43,POINT (105.4830614751236 20.2992480485208),3.0
44,POINT (105.4830475465458 20.30024773942172),3.0
45,POINT (105.4329681894801 20.33896460550563),3.0
46,POINT (105.462287333368 20.32028154784801),3.0
47,POINT (105.4509357728579 20.32998184065466),3.0
48,POINT (105.4593910419714 20.3201604156508),3.0
49,POINT (105.4365647967714 20.33775282197779),3.0
50,POINT (105.4622889481574 20.32036066905427),3.0
51,POINT (105.4510228593608 20.32827908264633),3.0
52,POINT (105.4659845841076 20.31143180350938),3.0
53,POINT (105.4319308583723 20.33940417564368),3.0
54,POINT (105.4509141820136 20.32843720129918),3.0
55,POINT (105.4352825683806 20.3365343645656),3.0
56,POINT (105.4782613831077 20.30374486972107),3.0
57,POINT (105.4355231746844 20.33661295990662),3.0
58,POINT (105.4354575711266 20.33656848373222),3.0
59,POINT (105.71956171395 20.11976975394943),3.0
60,POINT (105.7194028729749 20.12039010804912),3.0
61,POINT (105.7075735503649 20.11859690210454),3.0
62,POINT (105.7075734457689 20.11859683972041),3.0
63,POINT (105.7195416065504 20.11970975248952),3.0
64,POINT (105.7125789034285 20.11922654169868),3.0
65,POINT (105.7195415632657 20.11970971619592),3.0
66,POINT (105.7195263126278 20.12029761962941),3.0
67,POINT (105.7143193366303 20.11983802239652),3.0
68,POINT (105.7195892309456 20.12014368274583),3.0
69,POINT (105.7075735371537 20.11859689637628),3.0
70,POINT (105.7146698852537 20.1205465343416),3.0
71,POINT (105.7142802066267 20.11986740248991),3.0
72,POINT (105.719541651595 20.11970981520575),3.0
73,POINT (105.7075734872422 20.11859685770013),3.0
74,POINT (105.6918258684149 20.08604639962123),4.0
75,POINT (105.6702275582558 20.17652653783689),3.0
76,POINT (105.8167805927362 20.04768988488294),3.0
77,POINT (105.7277053546144 20.141634928003),3.0
78,POINT (105.620175862204 20.21229941156974),3.0
79,POINT (105.7628275906584 20.08504266377459),3.0
80,POINT (105.7720563716559 20.09580912855576),3.0
81,POINT (105.727227694466 20.13080368690492),3.0
82,POINT (105.6998221299323 20.16456494801077),3.0
83,POINT (105.687608837093 20.14543711209781),3.0
84,POINT (105.6770185944243 20.11373726632332),3.0
85,POINT (105.586936808399 20.27656306870344),3.0
86,POINT (105.7554268809065 20.09385396644105),3.0
87,POINT (105.6473594979682 20.12463100675103),3.0
88,POINT (105.5996344827427 20.10900919143433),3.0
89,POINT (105.5966269015989 20.23576165478311),3.0
90,POINT (105.741079528325 20.13665435509038),3.0
91,POINT (105.6473593683131 20.12463101757777),3.0
92,POINT (105.6236404799834 20.14642354169096),3.0
93,POINT (105.6615940073344 20.20919574114607),3.0
94,POINT (105.7692884870703 20.16052505353145),3.0
95,POINT (105.7231474287945 20.13346323597576),3.0
96,POINT (105.661720907385 20.19382112910335),3.0
97,POINT (105.6596354055586 20.25763187508462),3.0
98,POINT (105.737138640335 20.11500180973372),3.0
99,POINT (105.7210439744256 20.13639422828275),3.0
100,POINT (105.7147554159414 20.12432658691149),3.0
101,POINT (105.7468454730787 20.12979047564683),3.0
102,POINT (105.7506164501386 20.12988231701666),3.0
103,POINT (105.6500762868082 20.17255858317728),3.0
104,POINT (105.6529047190042 20.12560594734023),3.0
105,POINT (105.7339560815476 20.1125855586361),3.0
106,POINT (105.6069457371158 20.24613396144044),3.0
107,POINT (105.6560220282822 20.2018160262138),3.0
108,POINT (105.6739754360779 20.1290749346705),3.0
109,POINT (105.6110515051884 20.27743909894543),3.0
110,POINT (105.6596352434794 20.25763188986584),3.0
111,POINT (105.6613355490285 20.16288076805743),3.0
112,POINT (105.6069457146069 20.24613387771955),3.0
113,POINT (105.7406470313504 20.0683440432378),3.0
114,POINT (105.7496093522045 20.13749948668991),3.0
115,POINT (105.7511899868113 20.12856823179164),3.0
116,POINT (105.6675586352353 20.19147772925793),3.0
117,POINT (105.5962822768154 20.23558993055195),3.0
118,POINT (105.6787099306195 20.13707701327288),3.0
119,POINT (105.6772194998191 20.08575752842832),3.0
120,POINT (105.6628093540044 20.16332156079555),3.0
121,POINT (105.6084398063023 20.11503661543643),3.0
122,POINT (105.7580633016298 20.09515326613418),3.0
123,POINT (105.7058249894457 20.19254953219626),3.0
124,POINT (105.6530037325465 20.12471931065925),3.0
125,POINT (105.78115053465 20.17066442350743),3.0
126,POINT (105.6162785261401 20.20910021482062),3.0
127,POINT (105.692545450404 20.10959441791711),3.0
128,POINT (105.580235033094 20.25577250064204),3.0
129,POINT (105.6374823074471 20.11316644307036),3.0
130,POINT (105.6584773697437 20.19729234117623),3.0
131,POINT (105.7523150056262 20.12756692421002),3.0
132,POINT (105.6528721333827 20.12562181056332),3.0
133,POINT (105.6716953049104 20.17629963915975),3.0
134,POINT (105.5960298306223 20.23507271187046),3.0
135,POINT (105.6438628138611 20.22261295424492),3.0
136,POINT (105.7198393270565 20.12787352922838),3.0
137,POINT (105.7229483458361 20.12991743275862),3.0
138,POINT (105.586434455934 20.15606116042249),3.0
139,POINT (105.6917314060708 20.08596596051978),3.0
140,POINT (105.8153966427067 20.04846562220791),3.0
141,POINT (105.630744728372 20.10657681822944),3.0
142,POINT (105.5818962753988 20.28158839558368),3.0
143,POINT (105.6728119169899 20.12022309508256),3.0
144,POINT (105.7239306125666 20.15052762549727),3.0
145,POINT (105.615692650521 20.20950203561038),3.0
146,POINT (105.7811505411738 20.17066442616798),3.0
147,POINT (105.6699640388696 20.13846089956867),3.0
148,POINT (105.6539288828824 20.19954024206446),3.0
149,POINT (105.68935042489 20.12892786926537),3.0
150,POINT (105.6762374442213 20.11569508334465),3.0
151,POINT (105.7072741464128 20.11803658276363),3.0
152,POINT (105.6898060278261 20.13908930384442),3.0
153,POINT (105.7455952292639 20.12480394527513),3.0
154,POINT (105.5819490086692 20.28150161831145),3.0
