,points,Junction
POINT (105.6302423587052 20.1715401958061),3,POINT (105.6302423587052 20.1715401958061)
POINT (105.6151643358469 20.16069327394029),3,POINT (105.6151643358469 20.16069327394029)
POINT (105.5212967553954 20.29667038302898),3,POINT (105.5212967553954 20.29667038302898)
POINT (105.6764940499977 20.11298760431586),3,POINT (105.6764940499977 20.11298760431586)
POINT (105.6233085866371 20.11476801822495),3,POINT (105.6233085866371 20.11476801822495)
POINT (105.7794327263969 20.10114403938481),3,POINT (105.7794327263969 20.10114403938481)
POINT (105.6908755158544 20.16311518877209),3,POINT (105.6908755158544 20.16311518877209)
POINT (105.7396885631893 20.14595228997489),3,POINT (105.7396885631893 20.14595228997489)
POINT (105.6100296610375 20.14373820372177),3,POINT (105.6100296610375 20.14373820372177)
POINT (105.6920234810588 20.08322559954268),3,POINT (105.6920234810588 20.08322559954268)
POINT (105.6613164319223 20.16288383720157),3,POINT (105.6613164319223 20.16288383720157)
POINT (105.6840402109208 20.13786609816816),3,POINT (105.6840402109208 20.13786609816816)
POINT (105.7537899848605 20.12506749931342),3,POINT (105.7537899848605 20.12506749931342)
POINT (105.6685907240608 20.12511700197963),3,POINT (105.6685907240608 20.12511700197963)
POINT (105.7034865421676 20.16149295114668),3,POINT (105.7034865421676 20.16149295114668)
POINT (105.6904411895262 20.16636052689929),3,POINT (105.6904411895262 20.16636052689929)
POINT (105.6814626214706 20.13606679335882),3,POINT (105.6814626214706 20.13606679335882)
POINT (105.6815639660091 20.13630000828569),3,POINT (105.6815639660091 20.13630000828569)
POINT (105.5217105171862 20.27988978142575),3,POINT (105.5217105171862 20.27988978142575)
POINT (105.6784595470161 20.13381826424419),3,POINT (105.6784595470161 20.13381826424419)
POINT (105.6555636106156 20.16301649740076),3,POINT (105.6555636106156 20.16301649740076)
POINT (105.5961880640628 20.23524265330867),3,POINT (105.5961880640628 20.23524265330867)
POINT (105.759175364788 20.11115139643676),3,POINT (105.759175364788 20.11115139643676)
POINT (105.6728255035191 20.1541888195897),3,POINT (105.6728255035191 20.1541888195897)
POINT (105.649444780313 20.14940575259999),3,POINT (105.649444780313 20.14940575259999)
POINT (105.6372908336156 20.15684807059609),3,POINT (105.6372908336156 20.15684807059609)
POINT (105.6632178602629 20.17253826913636),3,POINT (105.6632178602629 20.17253826913636)
POINT (105.675421569585 20.12459685172803),3,POINT (105.675421569585 20.12459685172803)
POINT (105.7730857188772 20.09692397492628),3,POINT (105.7730857188772 20.09692397492628)
POINT (105.7728496062999 20.12688255032249),3,POINT (105.7728496062999 20.12688255032249)
POINT (105.624873837234 20.11564526988533),3,POINT (105.624873837234 20.11564526988533)
POINT (105.7552581404555 20.15893293881427),3,POINT (105.7552581404555 20.15893293881427)
POINT (105.7507860732364 20.08649416204222),3,POINT (105.7507860732364 20.08649416204222)
