,lines,shapely,length,start,end
0,"LINESTRING (105.4318760236127 20.33949460307411, 105.4318837048261 20.33949297917929)","LINESTRING (105.4318760236127 20.33949460307411, 105.4318837048261 20.33949297917929)",0.821672185512,POINT (105.4318760236127 20.33949460307411),POINT (105.4318837048261 20.33949297917929)
1,"LINESTRING (105.4318804409456 20.33949584182211, 105.4318836822289 20.33949306496162)","LINESTRING (105.4318804409456 20.33949584182211, 105.4318836822289 20.33949306496162)",0.457061637141,POINT (105.4318804409456 20.33949584182211),POINT (105.4318836822289 20.33949306496162)
2,"LINESTRING (105.4318835060083 20.33949384982677, 105.4318835175016 20.33949374717139, 105.4318836822289 20.33949306496162)","LINESTRING (105.4318835060083 20.33949384982677, 105.4318835175016 20.33949374717139, 105.4318836822289 20.33949306496162)",0.0888551349811,POINT (105.4318835060083 20.33949384982677),POINT (105.4318836822289 20.33949306496162)
4,"LINESTRING (105.4318836856902 20.33949305842712, 105.4318853622694 20.33949715416217)","LINESTRING (105.4318836856902 20.33949305842712, 105.4318853622694 20.33949715416217)",0.485874243706,POINT (105.4318836856902 20.33949305842712),POINT (105.4318853622694 20.33949715416217)
7,"LINESTRING (105.4319197631822 20.3393996833985, 105.4319308583723 20.33940417564368)","LINESTRING (105.4319197631822 20.3393996833985, 105.4319308583723 20.33940417564368)",1.26032975763,POINT (105.4319197631822 20.3393996833985),POINT (105.4319308583723 20.33940417564368)
9,"LINESTRING (105.4319611680522 20.33931957402045, 105.4319792527158 20.33933663857561, 105.4319872458107 20.33934607056483)","LINESTRING (105.4319611680522 20.33931957402045, 105.4319792527158 20.33933663857561, 105.4319872458107 20.33934607056483)",4.00645675015,POINT (105.4319611680522 20.33931957402045),POINT (105.4319872458107 20.33934607056483)
11,"LINESTRING (105.4329687685806 20.33896804810647, 105.4329681894801 20.33896460550563)","LINESTRING (105.4329687685806 20.33896804810647, 105.4329681894801 20.33896460550563)",0.385748110093,POINT (105.4329687685806 20.33896804810647),POINT (105.4329681894801 20.33896460550563)
13,"LINESTRING (105.4330592382036 20.33894342267848, 105.4330682116737 20.33896552750009, 105.4330769984675 20.33898139466706)","LINESTRING (105.4330592382036 20.33894342267848, 105.4330682116737 20.33896552750009, 105.4330769984675 20.33898139466706)",4.6005457559,POINT (105.4330592382036 20.33894342267848),POINT (105.4330769984675 20.33898139466706)
15,"LINESTRING (105.4347986223559 20.33679624084707, 105.434796771968 20.33679109476187)","LINESTRING (105.4347986223559 20.33679624084707, 105.434796771968 20.33679109476187)",0.60136480498,POINT (105.4347986223559 20.33679624084707),POINT (105.434796771968 20.33679109476187)
17,"LINESTRING (105.4352816716328 20.33650444844145, 105.4352820820831 20.33653055068279, 105.4352825683806 20.3365343645656)","LINESTRING (105.4352816716328 20.33650444844145, 105.4352820820831 20.33653055068279, 105.4352825683806 20.3365343645656)",3.31408871782,POINT (105.4352816716328 20.33650444844145),POINT (105.4352825683806 20.3365343645656)
