,Junction,points
0,POINT (105.7530256280027 19.9386235076065),3.0
1,POINT (105.7467231514047 19.93365196447346),3.0
2,POINT (105.7604876584396 19.95140262198494),3.0
3,POINT (105.7501625313502 19.94512998322745),3.0
4,POINT (105.7510140691788 19.94683389668797),3.0
5,POINT (105.7467232819018 19.93365187842642),3.0
6,POINT (105.7510139463678 19.94683372980557),3.0
7,POINT (105.7503119665638 19.93810030383157),3.0
8,POINT (105.7504901821174 19.94125059075214),3.0
9,POINT (105.7605930035198 19.95155095075815),3.0
10,POINT (105.7505860384274 19.94139796714824),3.0
11,POINT (105.7503119576041 19.93810029597775),3.0
12,POINT (105.7510139381387 19.94683369156302),3.0
13,POINT (105.7605929949415 19.95155092330585),3.0
14,POINT (105.7504459475134 19.93818868856873),3.0
15,POINT (105.7502836993728 19.94500927351694),3.0
16,POINT (105.7605930054877 19.95155098799263),3.0
17,POINT (105.7510139753535 19.94683378801065),3.0
18,POINT (105.7605929851632 19.95155108967378),3.0
19,POINT (105.7467233416712 19.93365185776683),3.0
20,POINT (105.7467233799916 19.93365185459016),3.0
21,POINT (105.628516024685 19.93981448211117),3.0
22,POINT (105.628515865498 19.93981452521064),3.0
23,POINT (105.6304093885997 19.93878392955086),3.0
24,POINT (105.6304094458917 19.93878390994991),3.0
25,POINT (105.6304095851091 19.93878387161729),3.0
26,POINT (105.6285160727987 19.93981446980339),3.0
27,POINT (105.6285160165137 19.93981448658125),3.0
28,POINT (105.6304094329537 19.93878391733765),3.0
29,POINT (105.6335325224281 19.93783753034536),3.0
30,POINT (105.6335325489475 19.93783750560188),3.0
31,POINT (105.6317397431589 19.93824949866455),3.0
32,POINT (105.6317396096869 19.9382495648658),3.0
33,POINT (105.631739719842 19.93824950462543),3.0
34,POINT (105.6335326032219 19.93783742091576),3.0
35,POINT (105.6317397782534 19.93824947947341),3.0
36,POINT (105.63353249753 19.93783754397001),3.0
37,POINT (105.6940845328838 19.95351918829272),3.0
38,POINT (105.6823612518372 19.93922992553326),3.0
39,POINT (105.6953214160407 19.95395218458943),3.0
40,POINT (105.6953214517996 19.95395220175477),3.0
41,POINT (105.695321536841 19.95395227304113),3.0
42,POINT (105.6823612364654 19.93922987485008),3.0
43,POINT (105.6823612297426 19.93922972337493),3.0
44,POINT (105.6823612697688 19.93922995514116),3.0
45,POINT (105.693700765033 19.95298406441896),3.0
46,POINT (105.7191183597885 19.98760885064876),3.0
47,POINT (105.7191184204322 19.98760903760102),3.0
48,POINT (105.719959079174 19.97898459938098),3.0
49,POINT (105.719118390596 19.9876089098773),3.0
50,POINT (105.7191183332773 19.98760882100822),3.0
51,POINT (105.7199591043508 19.97898452971176),3.0
52,POINT (105.7199591171173 19.9789845109285),3.0
53,POINT (105.7199590751077 19.9789846053645),3.0
54,POINT (105.7176650747869 19.98553992845375),3.0
55,POINT (105.7106243336227 19.97815207721959),3.0
56,POINT (105.7106244101609 19.97815225850707),3.0
57,POINT (105.7176650624211 19.98553992483924),3.0
58,POINT (105.7106243744025 19.97815220217558),3.0
59,POINT (105.71766510381 19.98553992945079),3.0
60,POINT (105.717665045511 19.98553991483075),3.0
61,POINT (105.6385186181165 19.93950927319261),3.0
62,POINT (105.6261484065019 19.95642496847869),3.0
63,POINT (105.6261484043339 19.95642491280205),3.0
64,POINT (105.6261483941755 19.95642487863654),3.0
65,POINT (105.6261483729496 19.9564251249706),3.0
66,POINT (105.6385184782317 19.93950930177001),3.0
67,POINT (105.6385184431761 19.93950931084347),3.0
68,POINT (105.6385185080814 19.93950930167614),3.0
69,POINT (105.6586547404718 19.97716724614019),3.0
70,POINT (105.6553905019254 19.97020120347468),3.0
71,POINT (105.6553905030712 19.97020120409639),3.0
72,POINT (105.6586547976108 19.97716718340361),3.0
73,POINT (105.6586547388998 19.97716724717435),3.0
74,POINT (105.6586548194496 19.97716714232401),3.0
75,POINT (105.6553904967304 19.97020119866219),3.0
76,POINT (105.6553905156191 19.97020121572043),3.0
77,POINT (105.6420514786375 19.98551121389903),3.0
78,POINT (105.6418219430203 19.98534482309111),3.0
79,POINT (105.6418219774881 19.98534484817269),3.0
80,POINT (105.6418217980668 19.98534478573935),3.0
81,POINT (105.6461353045397 19.97862623120006),3.0
82,POINT (105.6461352602074 19.97862631902109),3.0
83,POINT (105.6461352969434 19.97862625710085),3.0
84,POINT (105.6418218738779 19.98534479555796),3.0
85,POINT (105.536566120833 20.0526500616859),3.0
86,POINT (105.5365660182631 20.05265009645945),3.0
87,POINT (105.5326764235267 20.05149389395379),3.0
88,POINT (105.5326764387563 20.05149389952788),3.0
89,POINT (105.5326764260333 20.05149389587712),3.0
90,POINT (105.536565979583 20.05265009943484),3.0
91,POINT (105.5365659506979 20.0526500943785),3.0
92,POINT (105.5326764186863 20.05149389188179),3.0
93,POINT (105.5327906262715 20.05153261773178),3.0
94,POINT (105.5144111766046 20.08264936507198),3.0
95,POINT (105.5191162114421 20.07701728895489),3.0
96,POINT (105.5144111293057 20.08264955096731),3.0
97,POINT (105.5191163601385 20.07701711488968),3.0
98,POINT (105.514411155511 20.08264941051593),3.0
99,POINT (105.5191162795066 20.07701723809274),3.0
100,POINT (105.5144111978192 20.08264933908586),3.0
101,POINT (105.5189519565036 20.07709549873498),3.0
102,POINT (105.5191162414943 20.07701727288314),3.0
103,POINT (105.5190642229226 20.07635739100916),3.0
104,POINT (105.5352993660376 20.04205360435067),3.0
105,POINT (105.5042304981566 20.07296135654294),3.0
106,POINT (105.5106901822895 20.05476536993432),3.0
107,POINT (105.5178567503329 20.07207435447257),3.0
108,POINT (105.5192926596739 20.07248969802143),3.0
109,POINT (105.5059380825611 20.05287584246403),3.0
110,POINT (105.5190641927459 20.07635745282653),3.0
111,POINT (105.5178071939683 20.0719160749352),3.0
112,POINT (105.5042303970651 20.07296140081585),3.0
113,POINT (105.5190641365843 20.07635758562286),3.0
114,POINT (105.5059380352276 20.05287563626671),3.0
115,POINT (105.5178072069016 20.07191608998024),3.0
116,POINT (105.5190642018285 20.07635744088512),3.0
117,POINT (105.505938057489 20.0528757832399),3.0
118,POINT (105.5352994005949 20.04205359169329),3.0
119,POINT (105.5352993345427 20.0420536075416),3.0
120,POINT (105.5059381060913 20.05287587338074),3.0
121,POINT (105.504230422024 20.07296138391252),3.0
122,POINT (105.535299499456 20.04205358168028),3.0
123,POINT (105.5931378570127 19.98456957068258),3.0
124,POINT (105.5698945340892 20.00157975973822),3.0
125,POINT (105.5651265121847 20.06968898680339),3.0
126,POINT (105.5413496101563 20.04409026267322),3.0
127,POINT (105.5717741156579 20.00972271198221),3.0
128,POINT (105.5229284188744 20.00181453858832),3.0
129,POINT (105.5893427293794 20.01611530881269),3.0
130,POINT (105.5489512269516 20.02633013076703),3.0
131,POINT (105.5730016525331 20.01016509666171),3.0
132,POINT (105.5772174159285 20.01000371692119),3.0
133,POINT (105.5746650234073 19.99426510036329),3.0
134,POINT (105.6108947745492 20.01051052684537),3.0
135,POINT (105.5590011086867 20.06791444945893),3.0
136,POINT (105.5988014682766 20.02006225583396),3.0
137,POINT (105.6222107683027 19.98502212811693),3.0
