,lines,shapely,length,start,end
2,"LINESTRING (105.4754369218132 20.03763507909152, 105.4754160277229 20.03764963409792)","LINESTRING (105.4754369218132 20.03763507909152, 105.4754160277229 20.03764963409792)",2.7146637278,POINT (105.4754369218132 20.03763507909152),POINT (105.4754160277229 20.03764963409792)
9,"LINESTRING (105.5178071939683 20.0719160749352, 105.5178072069016 20.07191608998024, 105.517812593712 20.07192696214069, 105.5178389023403 20.07200155024406, 105.5178567503329 20.07207435447257)","LINESTRING (105.5178071939683 20.0719160749352, 105.5178072069016 20.07191608998024, 105.517812593712 20.07192696214069, 105.5178389023403 20.07200155024406, 105.5178567503329 20.07207435447257)",18.3014155812,POINT (105.5178071939683 20.0719160749352),POINT (105.5178567503329 20.07207435447257)
27,"LINESTRING (105.5418798657114 20.0341183112125, 105.5418800828371 20.0341183113067)","LINESTRING (105.5418798657114 20.0341183112125, 105.5418800828371 20.0341183113067)",0.0227084890411,POINT (105.5418798657114 20.0341183112125),POINT (105.5418800828371 20.0341183113067)
31,"LINESTRING (105.546793458768 20.00639162724535, 105.5467934137148 20.00639163718001)","LINESTRING (105.546793458768 20.00639162724535, 105.5467934137148 20.00639163718001)",0.00483933834703,POINT (105.546793458768 20.00639162724535),POINT (105.5467934137148 20.00639163718001)
46,"LINESTRING (105.550076152104 20.01908103788306, 105.5500977646217 20.01909628647385)","LINESTRING (105.550076152104 20.01908103788306, 105.5500977646217 20.01909628647385)",2.8209780816,POINT (105.550076152104 20.01908103788306),POINT (105.5500977646217 20.01909628647385)
54,"LINESTRING (105.55908614664 20.06812360453672, 105.5590554347084 20.06815016516942, 105.5589993048022 20.06820859190619, 105.5589987979366 20.06820927204736, 105.5589987716072 20.06820933603702, 105.5589987557072 20.06820944870685)","LINESTRING (105.55908614664 20.06812360453672, 105.5590554347084 20.06815016516942, 105.5589993048022 20.06820859190619, 105.5589987979366 20.06820927204736, 105.5589987716072 20.06820933603702, 105.5589987557072 20.06820944870685)",13.1980804367,POINT (105.55908614664 20.06812360453672),POINT (105.5589987557072 20.06820944870685)
60,"LINESTRING (105.5612511102832 20.05085968537565, 105.5612420345569 20.05083941916675, 105.5612252544803 20.05081078792926, 105.5612210647871 20.05080113186287)","LINESTRING (105.5612511102832 20.05085968537565, 105.5612420345569 20.05083941916675, 105.5612252544803 20.05081078792926, 105.5612210647871 20.05080113186287)",7.21221292155,POINT (105.5612511102832 20.05085968537565),POINT (105.5612210647871 20.05080113186287)
67,"LINESTRING (105.5639755396652 20.02591561100986, 105.5639836053149 20.02592211880634, 105.5640014578795 20.02593326338441)","LINESTRING (105.5639755396652 20.02591561100986, 105.5639836053149 20.02592211880634, 105.5640014578795 20.02593326338441)",3.3469908616,POINT (105.5639755396652 20.02591561100986),POINT (105.5640014578795 20.02593326338441)
105,"LINESTRING (105.5771796360299 20.01020516048134, 105.577108058573 20.01022064914087, 105.5770398464879 20.01024259326657, 105.576979949328 20.01026944815014, 105.5769598876898 20.01028154746684, 105.5769593238505 20.01028179773217, 105.5769592865708 20.01028182713456, 105.5769592046465 20.01028193425949)","LINESTRING (105.5771796360299 20.01020516048134, 105.577108058573 20.01022064914087, 105.5770398464879 20.01024259326657, 105.576979949328 20.01026944815014, 105.5769598876898 20.01028154746684, 105.5769593238505 20.01028179773217, 105.5769592865708 20.01028182713456, 105.5769592046465 20.01028193425949)",24.7267627071,POINT (105.5771796360299 20.01020516048134),POINT (105.5769592046465 20.01028193425949)
107,"LINESTRING (105.5771796360299 20.01020516048134, 105.5771800504269 20.01020221570417, 105.5771838341262 20.01018583272384, 105.577191870124 20.01012789373582, 105.5772022663923 20.01008475597145, 105.5772060562119 20.01005576969624, 105.5772153598486 20.01001813585916, 105.5772168428717 20.01000594569039, 105.5772169591879 20.01000548150176, 105.5772170005205 20.01000537493816, 105.5772174159285 20.01000371692119)","LINESTRING (105.5771796360299 20.01020516048134, 105.5771800504269 20.01020221570417, 105.5771838341262 20.01018583272384, 105.577191870124 20.01012789373582, 105.5772022663923 20.01008475597145, 105.5772060562119 20.01005576969624, 105.5772153598486 20.01001813585916, 105.5772168428717 20.01000594569039, 105.5772169591879 20.01000548150176, 105.5772170005205 20.01000537493816, 105.5772174159285 20.01000371692119)",22.6682582731,POINT (105.5771796360299 20.01020516048134),POINT (105.5772174159285 20.01000371692119)
