,time,speed,category,start_lat,start_lon,end_lat,end_lon,is_fixed,iri,distance,suspension,Line_Geometry,VPROMMS_ID
0,10:17:20 2017-February-14,22.05,POOR,20.01707938,105.60942799,20.01707938,105.60942799,False,7.82,104.9,MEDIUM,"LINESTRING (105.60942799 20.01707938, 105.60942799 20.01707938)",212TH00008_1
1,10:17:20 2017-February-14,18.03,FAIR,20.0170385,105.60938813,20.01627836,105.60923548,True,4.54,100.85,MEDIUM,"LINESTRING (105.60938813 20.0170385, 105.60923548 20.01627836)",212TH00008_1
2,10:17:39 2017-February-14,19.94,FAIR,20.01627836,105.60923548,20.01542042,105.60898701,True,4.91,108.41,MEDIUM,"LINESTRING (105.60923548 20.01627836, 105.60898701 20.01542042)",212TH00008_1
3,10:17:59 2017-February-14,22.32,FAIR,20.01542042,105.60898701,20.01433404,105.60847898,True,4.73,103.83,MEDIUM,"LINESTRING (105.60898701 20.01542042, 105.60847898 20.01433404)",212TH00008_1
4,10:18:20 2017-February-14,39.66,FAIR,20.01433404,105.60847898,20.01310867,105.60799444,True,4.76,103.97,MEDIUM,"LINESTRING (105.60847898 20.01433404, 105.60799444 20.01310867)",212TH00008_1
5,10:18:33 2017-February-14,28.12,GOOD,20.0130081,105.60795177,20.01217132,105.60760084,True,3.86,110.19,MEDIUM,"LINESTRING (105.60795177 20.0130081, 105.60760084 20.01217132)",212TH00008_1
6,10:18:52 2017-February-14,39.18,FAIR,20.01217132,105.60760084,20.01125778,105.6071892,True,4.48,111.03,MEDIUM,"LINESTRING (105.60760084 20.01217132, 105.6071892 20.01125778)",212TH00008_1
7,10:19:02 2017-February-14,44.36,FAIR,20.01116171,105.60714777,20.01001389,105.60666607,True,5.45,111.96,MEDIUM,"LINESTRING (105.60714777 20.01116171, 105.60666607 20.01001389)",212TH00008_1
8,10:19:14 2017-February-14,47.56,FAIR,20.00990901,105.60662175,20.00914066,105.60630662,True,4.46,104.93,MEDIUM,"LINESTRING (105.60662175 20.00990901, 105.60630662 20.00914066)",212TH00008_1
9,10:19:22 2017-February-14,51.73,FAIR,20.00914066,105.60630662,20.00794113,105.6058107,True,4.19,102.11,MEDIUM,"LINESTRING (105.60630662 20.00914066, 105.6058107 20.00794113)",212TH00008_1
10,10:19:32 2017-February-14,54.71,FAIR,20.00794113,105.6058107,20.00703253,105.60545713,True,4.36,106.9,MEDIUM,"LINESTRING (105.6058107 20.00794113, 105.60545713 20.00703253)",212TH00008_1
11,10:19:39 2017-February-14,52.34,FAIR,20.00703253,105.60545713,20.00544867,105.6047958,True,4.26,101.55,MEDIUM,"LINESTRING (105.60545713 20.00703253, 105.6047958 20.00544867)",212TH00008_1
12,10:19:52 2017-February-14,51.59,FAIR,20.00544867,105.6047958,20.00458917,105.60444512,True,5.19,102.38,MEDIUM,"LINESTRING (105.6047958 20.00544867, 105.60444512 20.00458917)",212TH00008_1
13,10:19:59 2017-February-14,52.44,FAIR,20.00458917,105.60444512,20.00298624,105.60383005,True,5.17,103.15,MEDIUM,"LINESTRING (105.60444512 20.00458917, 105.60383005 20.00298624)",212TH00008_1
14,10:20:12 2017-February-14,53.17,GOOD,20.00285579,105.60377651,20.00212081,105.60346646,True,3.73,100.47,MEDIUM,"LINESTRING (105.60377651 20.00285579, 105.60346646 20.00212081)",212TH00008_1
15,10:20:19 2017-February-14,43.76,FAIR,20.00201098,105.60342673,20.00057798,105.60283803,True,4.45,112.31,MEDIUM,"LINESTRING (105.60342673 20.00201098, 105.60283803 20.00057798)",212TH00008_1
16,10:20:34 2017-February-14,48.46,FAIR,20.00057798,105.60283803,19.9996701,105.6024636,True,4.64,108.02,MEDIUM,"LINESTRING (105.60283803 20.00057798, 105.6024636 19.9996701)",212TH00008_1
17,10:20:42 2017-February-14,47.54,FAIR,19.99955454,105.60241982,19.99844622,105.60196449,True,4.19,102.53,MEDIUM,"LINESTRING (105.60241982 19.99955454, 105.60196449 19.99844622)",212TH00008_1
18,10:20:53 2017-February-14,49.47,FAIR,19.99844622,105.60196449,19.99751666,105.60159862,True,4.39,112.5,MEDIUM,"LINESTRING (105.60196449 19.99844622, 105.60159862 19.99751666)",212TH00008_1
19,10:21:01 2017-February-14,49.42,FAIR,19.99739222,105.60155136,19.99575389,105.60106616,True,4.02,104.22,MEDIUM,"LINESTRING (105.60155136 19.99739222, 105.60106616 19.99575389)",212TH00008_1
20,10:21:16 2017-February-14,51.95,FAIR,19.99563588,105.60106633,19.99484462,105.60110506,True,5.05,103.72,MEDIUM,"LINESTRING (105.60106633 19.99563588, 105.60110506 19.99484462)",212TH00008_1
